model,term,chisq,df,p,global_p
interaction__z_fib1,htn1c,0.11174145005230911,1,0.7381701638310666,0.5654479257686603
interaction__z_fib1,income1,0.726371924040164,1,0.3940617229176103,0.5654479257686603
interaction__z_fib1,ldl1,0.5012649603106901,1,0.47894483632650175,0.5654479257686603
interaction__z_fib1,pkyrs1c,2.804337246209394,1,0.09400968596857398,0.5654479257686603
interaction__z_fib1,race_eth,2.392772843371934,3,0.4949813735546037,0.5654479257686603
interaction__z_fib1,sbp1c,0.6325309382874839,1,0.42642846617168967,0.5654479257686603
interaction__z_fib1,sex,3.6011810646519837,1,0.057738537621788405,0.5654479257686603
interaction__z_fib1,site_factor,2.7282910252139008,5,0.741788166536094,0.5654479257686603
interaction__z_fib1,trig1,0.026118131367733662,1,0.8716121553473312,0.5654479257686603
interaction__z_fib1,z_fib1,0.8735902779579114,1,0.3499632817821366,0.5654479257686603
interaction__z_fib1,z_fib1:race_eth,0.39534887951486297,3,0.941201622849226,0.5654479257686603
interaction__z_log_crp1,age1c,0.995368180529632,1,0.3184338741933549,0.34119744336293945
interaction__z_log_crp1,bmi1c,0.005101733159398554,1,0.943058384938113,0.34119744336293945
interaction__z_log_crp1,cepgfr1c,0.018629657924288875,1,0.891433530308154,0.34119744336293945
interaction__z_log_crp1,chol1,0.05601163669988936,1,0.8129145350035751,0.34119744336293945
interaction__z_log_crp1,cig1c,0.2868516264617169,1,0.592245182148588,0.34119744336293945
interaction__z_log_crp1,dm031c,3.1112018543063664,1,0.0777555644821069,0.34119744336293945
interaction__z_log_crp1,educ1,0.6393373925623346,1,0.4239508387892465,0.34119744336293945
interaction__z_log_crp1,hdl1,0.6763335041559616,1,0.41085213514451374,0.34119744336293945
interaction__z_log_crp1,htn1c,0.10752555315164847,1,0.7429790379826561,0.34119744336293945
interaction__z_log_crp1,income1,0.7130996012022482,1,0.3984167358905791,0.34119744336293945
interaction__z_log_crp1,ldl1,0.5159518745025189,1,0.47257362415301063,0.34119744336293945
interaction__z_log_crp1,pkyrs1c,2.7399896656837397,1,0.09786539971341195,0.34119744336293945
